DATE,"Job Title",Company,Website,Industry,Salary,Remote,AREA,City,State,"Zip Code"
03-03-2022,"Highway Safety Specialist (State Programs Specialist) (Open...","US Federal Motor Carrier Safety Administration",,,"$94,373 - $122,683 a year",,,Charleston,WV,""
03-03-2022,"Customer Service Representative - Hybrid role","Encova Insurance",encova.com,Insurance,,,,Charleston,WV,""
03-03-2022,"Health Information Management Scribe","CAMC Health System",camc.org,"Hospital & Health Care",,,,Charleston,WV,""
01-03-2022,"Title I Interventionist Middle School Teacher","Kanawha County School District",k12.wv.us,"Education Management",,,,Charleston,WV,"25311"
03-03-2022,"Patient Accounts Rep -- Patient Accounts -- General Hospital","CAMC Health System",camc.org,"Hospital & Health Care",,,,Charleston,WV,""
03-03-2022,"Surgical Tech 1","CAMC Health System",camc.org,"Hospital & Health Care",,,,Charleston,WV,""
03-03-2022,"Surgical Tech 1","CAMC Health System",camc.org,"Hospital & Health Care",,,,Charleston,WV,""
03-03-2022,"Admitting Clerk -- Registration -- Memorial Hospital","CAMC Health System",camc.org,"Hospital & Health Care",,,"Kanawha City area",Charleston,WV,"25304"
01-03-2022,"Sales Development Representative",N3,n3results.com,"Information Technology & Services",,,,Charleston,WV,""
01-03-2022,"Customer Care Representative","CAMC Health System",camc.org,"Hospital & Health Care",,,,Charleston,WV,""
03-03-2022,"Nursing Assistant","CAMC Health System",camc.org,"Hospital & Health Care",,,"Kanawha City area",Charleston,WV,"25304"
03-03-2022,"Claims Adjuster Trainee",Progressive,progressivepartnership.co.uk,"Market Research","$47,400 - $51,500 a year",,"Kanawha City area",Charleston,WV,""
01-03-2022,"Case Manager","River Valley Child Development Services (RVCDS)",linkccrr.org,,"$18.75 - $20.67 an hour",,"Oakridge/Greenbrier area",Charleston,WV,"25311"
03-03-2022,"Registration Representative --Outpatient Care Center --Heart...","CAMC Health System",camc.org,"Hospital & Health Care",,,,Charleston,WV,""
01-03-2022,"Account Executive",Amedisys,amedisys.com,"Hospital & Health Care",,,"Kanawha City area",Charleston,WV,"25304"
03-03-2022,"Critical Care Patient Technician","CAMC Health System",camc.org,"Hospital & Health Care",,,,Charleston,WV,""
03-03-2022,"Patient Accounts Collector -- Healthcare Financial Services...","CAMC Health System",camc.org,"Hospital & Health Care",,,,Charleston,WV,""
02-03-2022,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,"East End area",Charleston,WV,"25301"
03-03-2022,"Dietary Aide","CAMC Health System",camc.org,"Hospital & Health Care",,,,Charleston,WV,""
02-03-2022,"Brokerage Non-Registered Client Service Associate","Truist Financial",truist.com,"Financial Services",,,"Downtown area",Charleston,WV,"25301"
02-03-2022,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,,Charleston,WV,"25302"
02-03-2022,"CUSTOMER SERVICE REPRESENTATIVE","Family Dollar",familydollar.com,Retail,,,,Charleston,WV,"25312"
03-03-2022,"Systems Analyst 3","CAMC Health System",camc.org,"Hospital & Health Care",,,"Oakridge/Greenbrier area",Charleston,WV,"25311"
03-03-2022,"Pre-Certification Specialist","CAMC Health System",camc.org,"Hospital & Health Care",,,,Charleston,WV,""
